Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Test Accuracy,Model Size,Recall Drowsy,Recall Non-Drowsy,History Plot,Confusion Matrix
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,86.00000143051147,0.8133888244628906,0.82,0.84,./plots/full_face/hist/history_43.png,./plots/full_face/cm/confusion_matrix_43.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,75.99999904632568,0.8133888244628906,0.98,0.46,./plots/full_face/hist/history_44.png,./plots/full_face/cm/confusion_matrix_44.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,62.99999952316284,0.8133888244628906,0.68,0.94,./plots/full_face/hist/history_45.png,./plots/full_face/cm/confusion_matrix_45.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,81.00000023841858,0.8133888244628906,0.7,0.84,./plots/full_face/hist/history_46.png,./plots/full_face/cm/confusion_matrix_46.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,55.000001192092896,0.8133888244628906,0.98,0.16,./plots/full_face/hist/history_47.png,./plots/full_face/cm/confusion_matrix_47.png
0.001,"[16, 8]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,68.99999976158142,0.8133888244628906,1.0,0.14,./plots/full_face/hist/history_48.png,./plots/full_face/cm/confusion_matrix_48.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,61.000001430511475,3.1814613342285156,1.0,0.12,./plots/full_face/hist/history_49.png,./plots/full_face/cm/confusion_matrix_49.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,85.00000238418579,3.1814613342285156,0.9,0.86,./plots/full_face/hist/history_50.png,./plots/full_face/cm/confusion_matrix_50.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,58.99999737739563,3.1814613342285156,0.3,1.0,./plots/full_face/hist/history_51.png,./plots/full_face/cm/confusion_matrix_51.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,72.00000286102295,3.1814613342285156,0.58,1.0,./plots/full_face/hist/history_52.png,./plots/full_face/cm/confusion_matrix_52.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,72.00000286102295,3.1814613342285156,1.0,0.26,./plots/full_face/hist/history_53.png,./plots/full_face/cm/confusion_matrix_53.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,81.99999928474426,3.1814613342285156,0.8,0.94,./plots/full_face/hist/history_54.png,./plots/full_face/cm/confusion_matrix_54.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,87.99999952316284,1.6030921936035156,0.96,0.86,./plots/full_face/hist/history_55.png,./plots/full_face/cm/confusion_matrix_55.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,57.999998331069946,1.6030921936035156,0.98,0.12,./plots/full_face/hist/history_56.png,./plots/full_face/cm/confusion_matrix_56.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,57.999998331069946,1.6030921936035156,1.0,0.0,./plots/full_face/hist/history_57.png,./plots/full_face/cm/confusion_matrix_57.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,75.99999904632568,1.6030921936035156,0.98,0.58,./plots/full_face/hist/history_58.png,./plots/full_face/cm/confusion_matrix_58.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,50.999999046325684,1.6030921936035156,1.0,0.02,./plots/full_face/hist/history_59.png,./plots/full_face/cm/confusion_matrix_59.png
0.001,"[8, 16]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,75.99999904632568,1.6030921936035156,0.94,0.6,./plots/full_face/hist/history_60.png,./plots/full_face/cm/confusion_matrix_60.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,70.99999785423279,3.1721839904785156,0.5,1.0,./plots/full_face/hist/history_61.png,./plots/full_face/cm/confusion_matrix_61.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,75.99999904632568,3.1721839904785156,0.62,1.0,./plots/full_face/hist/history_62.png,./plots/full_face/cm/confusion_matrix_62.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,50.999999046325684,3.1721839904785156,0.24,1.0,./plots/full_face/hist/history_63.png,./plots/full_face/cm/confusion_matrix_63.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,66.00000262260437,3.1721839904785156,0.34,1.0,./plots/full_face/hist/history_64.png,./plots/full_face/cm/confusion_matrix_64.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,63.999998569488525,3.1721839904785156,0.38,1.0,./plots/full_face/hist/history_65.png,./plots/full_face/cm/confusion_matrix_65.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,60.00000238418579,3.1721839904785156,0.3,1.0,./plots/full_face/hist/history_66.png,./plots/full_face/cm/confusion_matrix_66.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,68.99999976158142,1.5938148498535156,0.5,1.0,./plots/full_face/hist/history_67.png,./plots/full_face/cm/confusion_matrix_67.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,87.99999952316284,1.5938148498535156,0.94,0.8,./plots/full_face/hist/history_68.png,./plots/full_face/cm/confusion_matrix_68.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,86.00000143051147,1.5938148498535156,0.92,0.66,./plots/full_face/hist/history_69.png,./plots/full_face/cm/confusion_matrix_69.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,56.00000023841858,1.5938148498535156,0.24,1.0,./plots/full_face/hist/history_70.png,./plots/full_face/cm/confusion_matrix_70.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,82.99999833106995,1.5938148498535156,0.76,0.84,./plots/full_face/hist/history_71.png,./plots/full_face/cm/confusion_matrix_71.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,64,69.9999988079071,1.5938148498535156,0.92,0.44,./plots/full_face/hist/history_72.png,./plots/full_face/cm/confusion_matrix_72.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,16,79.00000214576721,1.6127052307128906,0.76,0.86,./plots/full_face/hist/history_73.png,./plots/full_face/cm/confusion_matrix_73.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,62.99999952316284,1.6127052307128906,0.3,1.0,./plots/full_face/hist/history_74.png,./plots/full_face/cm/confusion_matrix_74.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,56.99999928474426,1.6127052307128906,0.28,0.94,./plots/full_face/hist/history_75.png,./plots/full_face/cm/confusion_matrix_75.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,68.00000071525574,1.6127052307128906,0.98,0.28,./plots/full_face/hist/history_76.png,./plots/full_face/cm/confusion_matrix_76.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,85.00000238418579,1.6127052307128906,0.82,0.88,./plots/full_face/hist/history_77.png,./plots/full_face/cm/confusion_matrix_77.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,73.00000190734863,1.6127052307128906,0.6,0.9,./plots/full_face/hist/history_78.png,./plots/full_face/cm/confusion_matrix_78.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,56.99999928474426,0.8155860900878906,1.0,0.12,./plots/full_face/hist/history_79.png,./plots/full_face/cm/confusion_matrix_79.png
0.001,"[8, 8]","[(5, 5), (5, 5)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,75.99999904632568,0.8155860900878906,0.7,0.86,./plots/full_face/hist/history_80.png,./plots/full_face/cm/confusion_matrix_80.png
